B	A	transcriptB16352		absent_transcript	0	geneB16352	geneA7138	;category:j;
B	A	transcriptB17370	transcriptA105958	unique_transcript	0	geneB17370	geneA8281	;category:=;
B	A	transcriptB30316		absent_gene	0	geneB30316		;category:x;
B	A	transcriptB32138		absent_transcript	0	geneB32138	geneA14599	;category:n;
B	A	transcriptB32369		gene_fusion	0	geneB32369	geneA14837;geneA14838	;category:j;
B	A	transcriptB32575		absent_transcript	0	geneB32575	geneA15083	;category:m;
B	A	transcriptB29171		absent_transcript	0	geneB29171	geneA11166	;category:m;
B	A	transcriptB30273		absent_transcript	0	geneB30273	geneA12402	;category:j;
B	A	transcriptB30318		absent_transcript	0	geneB30318	geneA12428	;category:n;
B	A	transcriptB30446		absent_transcript	0	geneB30446	geneA12608	;category:j;
B	A	transcriptB30451		absent_transcript	0	geneB30451	geneA12608	;category:j;
B	A	transcriptB31947		absent_transcript	0	geneB31947	geneA14325	;category:o;
B	A	transcriptB31948		absent_transcript	0	geneB31948	geneA14325	;category:j;
B	A	transcriptB32396		absent_transcript	0	geneB32396	geneA14875	;category:j;
B	A	transcriptB32395	transcriptA52049	unique_transcript	0	geneB32395	geneA14875	;category:=;
B	A	transcriptB32576		absent_transcript	0	geneB32576	geneA15082	;category:o;
B	A	transcriptB1789		absent_transcript	0	geneB1789	geneA17350	;category:n;
B	A	transcriptB1016		absent_transcript	0	geneB1016	geneA16485	;category:j;
B	A	transcriptB1852		absent_transcript	0	geneB1852	geneA17404	;category:m;
B	A	transcriptB12236	transcriptA79020	unique_transcript	0	geneB12236	geneA20281	;category:=;
B	A	transcriptB12252	transcriptA79020	unique_transcript	0	geneB12252	geneA20281	;category:c;
B	A	transcriptB12355		absent_gene	0	geneB12355		;category:u;
B	A	transcriptB12250	transcriptA98955	unique_transcript	0	geneB12250	geneA20285	;category:=;
B	A	transcriptB12255		absent_transcript	0	geneB12255	geneA20286	;category:o;
B	A	transcriptB12233		absent_transcript	0	geneB12233	geneA20292	;category:m;
B	A	transcriptB12251	transcriptA2892	unique_transcript	0	geneB12251	geneA20292	;category:c;
B	A	transcriptB12272		absent_transcript	0	geneB12272	geneA20297	;category:j;
B	A	transcriptB12584	transcriptA52839	unique_transcript	0	geneB12584	geneA20676	;category:c;
B	A	transcriptB12583		absent_transcript	0	geneB12583	geneA20676	;category:j;
B	A	transcriptB33275		absent_transcript	0	geneB33275	geneA25181	;category:o;
B	A	transcriptB33667	transcriptA23854	unique_transcript	0	geneB33667	geneA25622	;category:=;
B	A	transcriptB25963	transcriptA5975	unique_transcript	0	geneB25963	geneA30972	;category:=;
B	A	transcriptB27104	transcriptA96038	unique_transcript	0	geneB27104	geneA32231	;category:=;
B	A	transcriptB6336	transcriptA119851	unique_transcript	0	geneB6336	geneA35467	;category:c;
B	A	transcriptB6337		absent_transcript	0	geneB6337	geneA35467	;category:j;
B	A	transcriptB9181		absent_transcript	0	geneB9181	geneA37836	;category:j;
B	A	transcriptB4326		gene_fusion	0	geneB4326	geneA39694;geneA39695	;category:=;
B	A	transcriptB38638		absent_transcript	0	geneB38638	geneA42124	;category:j;
B	A	transcriptB37956	transcriptA115025	unique_transcript	0	geneB37956	geneA41459	;category:=;
A	B	transcriptA107513		absent_transcript	0	geneA39695	geneB4326	;category:j;
A	B	transcriptA116852		gene_fusion	0	geneA6621	geneB24592;geneB24517	;category:j;
A	B	transcriptA123674		gene_fusion	0	geneA6621	geneB24592;geneB24517	;category:j;
A	B	transcriptA128220	transcriptB20365	unique_transcript	0	geneA1914	geneB20367	;category:k;
A	B	transcriptA17316		gene_fusion	0	geneA6621	geneB24592;geneB24517	;category:j;
A	B	transcriptA46499		gene_fusion	0	geneA6621	geneB24592;geneB24517	;category:j;
A	B	transcriptA53955		gene_fusion	0	geneA6621	geneB24592;geneB24517	;category:j;
A	B	transcriptA57241		gene_fusion	0	geneA6621	geneB24592;geneB24517	;category:j;
A	B	transcriptA67267		gene_fusion	0	geneA6621	geneB24592;geneB24517	;category:j;
A	B	transcriptA72394		absent_transcript	0	geneA3662	geneB22128	;category:e;
A	B	transcriptA80231		gene_fusion	0	geneA6621	geneB24592;geneB24517	;category:j;
