A	B	transcriptA100337		absent_transcript	0	geneA42124	geneB38638	
B	A	transcriptB20099		absent_gene	0	geneB20099		
B	A	transcriptB19015		absent_transcript	0	geneB19015	geneA376	
B	A	transcriptB19992		absent_transcript	0	geneB19992	geneA1479	
B	A	transcriptB20346		absent_transcript	0	geneB20346	geneA1910	
B	A	transcriptB20398		absent_transcript	0	geneB20398	geneA1958	
B	A	transcriptB20397	transcriptA116205	unique_transcript	0	geneB20397	geneA1958	
B	A	transcriptB21146		absent_transcript	0	geneB21146	geneA2792	
B	A	transcriptB21769		absent_transcript	0	geneB21769	geneA3421	
B	A	transcriptB21774	transcriptA45689	unique_transcript	0	geneB21774	geneA3433	
B	A	transcriptB22040	transcriptA80928	unique_transcript	0	geneB22040	geneA3700	
B	A	transcriptB22909		absent_transcript	0	geneB22909	geneA4713	
B	A	transcriptB24592		absent_transcript	0	geneB24592	geneA6621	
B	A	transcriptB24517		absent_transcript	0	geneB24517	geneA6621	
B	A	transcriptB20365	transcriptA128220	unique_transcript	0	geneB20367	geneA1914	
B	A	transcriptB22128		absent_transcript	0	geneB22128	geneA3662	
B	A	transcriptB22398	transcriptA114158	unique_transcript	0	geneB22398	geneA4128	
B	A	transcriptB22860		absent_transcript	0	geneB22860	geneA4704	
B	A	transcriptB23174		absent_transcript	0	geneB23174	geneA5016	
B	A	transcriptB17369	transcriptA100998	unique_transcript	0	geneB17369	geneA8280	
B	A	transcriptB16352		absent_transcript	0	geneB16352	geneA7138	
B	A	transcriptB17370	transcriptA105958	unique_transcript	0	geneB17370	geneA8281	
B	A	transcriptB30316		absent_gene	0	geneB30316		
B	A	transcriptB32138		absent_transcript	0	geneB32138	geneA14599	
B	A	transcriptB32369		gene_fusion	0	geneB32369	geneA14837;geneA14838	
B	A	transcriptB32575		absent_transcript	0	geneB32575	geneA15083	
B	A	transcriptB29171		absent_transcript	0	geneB29171	geneA11166	
B	A	transcriptB30273		absent_transcript	0	geneB30273	geneA12402	
B	A	transcriptB30318		absent_transcript	0	geneB30318	geneA12428	
B	A	transcriptB30446		absent_transcript	0	geneB30446	geneA12608	
B	A	transcriptB30451		absent_transcript	0	geneB30451	geneA12608	
B	A	transcriptB31947		absent_transcript	0	geneB31947	geneA14325	
B	A	transcriptB31948		absent_transcript	0	geneB31948	geneA14325	
B	A	transcriptB32396		absent_transcript	0	geneB32396	geneA14875	
B	A	transcriptB32395	transcriptA52049	unique_transcript	0	geneB32395	geneA14875	
B	A	transcriptB32576		absent_transcript	0	geneB32576	geneA15082	
B	A	transcriptB1789		absent_transcript	0	geneB1789	geneA17350	
B	A	transcriptB1016		absent_transcript	0	geneB1016	geneA16485	
B	A	transcriptB1852		absent_transcript	0	geneB1852	geneA17404	
B	A	transcriptB12236	transcriptA79020	unique_transcript	0	geneB12236	geneA20281	
B	A	transcriptB12252	transcriptA79020	unique_transcript	0	geneB12252	geneA20281	
B	A	transcriptB12355		absent_gene	0	geneB12355		
B	A	transcriptB12250	transcriptA98955	unique_transcript	0	geneB12250	geneA20285	
B	A	transcriptB12255		absent_transcript	0	geneB12255	geneA20286	
B	A	transcriptB12233		absent_transcript	0	geneB12233	geneA20292	
B	A	transcriptB12251	transcriptA2892	unique_transcript	0	geneB12251	geneA20292	
B	A	transcriptB12272		absent_transcript	0	geneB12272	geneA20297	
B	A	transcriptB12584	transcriptA52839	unique_transcript	0	geneB12584	geneA20676	
